time,acc_z,acc_y,acc_x,or_qz,or_qy,or_qx,or_qw,or_roll,or_pitch,or_yaw,Class
2023-10-21 17:16:52.780,-0.5607457160949707,0.6600536704063416,-2.1661953926086426,0.6659374833106995,-0.2608041167259216,0.6347307562828064,0.2926181554794311,-1.5125503540039062,-0.024111371487379,-2.336317777633667,1
2023-10-21 17:16:52.800,-0.4058560132980346,0.8862903118133545,-1.9843511581420896,0.6659374833106995,-0.2608041167259216,0.6347307562828064,0.2926181554794311,-1.5125503540039062,-0.024111371487379,-2.336317777633667,1
2023-10-21 17:16:52.820,-0.3340330123901367,0.8390383124351501,-1.556379318237305,0.6690331697463989,-0.2559578418731689,0.6328359246253967,0.2939369678497314,-1.502705454826355,-0.0295434650033712,-2.3412728309631348,1
2023-10-21 17:16:52.880,-0.0970282554626464,0.1601596474647522,-0.098210334777832,0.6717208027839661,-0.2491085678339004,0.6318031549453735,0.295907199382782,-1.4931191205978394,-0.0392574779689312,-2.348027229309082,1
2023-10-21 17:16:52.900,-0.3838376998901367,-0.1270339488983154,0.3699798583984375,0.6723296642303467,-0.2447263300418853,0.6327016353607178,0.2962610721588135,-1.4910327196121216,-0.0458322279155254,-2.353808641433716,1
2023-10-21 17:16:52.920,-0.4986052513122558,-0.3094899356365204,0.6580562591552734,0.6723876595497131,-0.2442935854196548,0.6327915191650391,0.2962944805622101,-1.490833759307861,-0.0464820452034473,-2.3543803691864014,1
2023-10-21 17:16:52.930,-0.5630385875701904,-0.3720028698444366,0.7886123657226562,0.6708564162254333,-0.2420370429754257,0.6360185146331787,0.2947034835815429,-1.4968390464782717,-0.0501505807042121,-2.360335111618042,1
2023-10-21 17:16:52.950,-0.5358905792236328,-0.4038749039173126,0.5941524505615234,0.6707019805908203,-0.241815447807312,0.6363396644592285,0.2945437133312225,-1.4974428415298462,-0.0505089610815048,-2.3609261512756348,1
2023-10-21 17:16:52.970,-0.686220645904541,-0.2048108279705047,0.1581029891967773,0.6690760850906372,-0.2405761033296585,0.6392087936401367,0.2930402159690857,-1.5035818815231323,-0.0527247674763202,-2.365266799926758,1
2023-10-21 17:16:53.030,-1.113057017326355,0.2737741470336914,-1.164628028869629,0.6690026521682739,-0.2394083440303802,0.6399421691894531,0.2925631105899811,-1.504334807395935,-0.0541437417268753,-2.367748260498047,1
2023-10-21 17:16:53.050,-1.0800750255584717,0.2279104590415954,-1.1171789169311523,0.6711841821670532,-0.2379215955734253,0.6381658911705017,0.2926592528820038,-1.4983515739440918,-0.0541783645749092,-2.369624376296997,1
2023-10-21 17:16:53.070,-1.057529091835022,-0.0587392151355743,-0.789586067199707,0.6711841821670532,-0.2379215955734253,0.6381658911705017,0.2926592528820038,-1.4983515739440918,-0.0541783645749092,-2.369624376296997,1
2023-10-21 17:16:53.100,-0.2309178113937378,0.0411473512649536,0.8289508819580078,0.6757176518440247,-0.2353920489549636,0.6340504884719849,0.2932170629501343,-1.4854284524917605,-0.0537376031279563,-2.3721024990081787,1
2023-10-21 17:16:53.120,-0.1288232803344726,-0.0272258222103118,1.659769058227539,0.6824712157249451,-0.2328967452049255,0.6275985836982727,0.2934489548206329,-1.4667179584503174,-0.0504670664668083,-2.3749022483825684,1
2023-10-21 17:16:53.180,-0.7542163133621216,0.0187889337539672,-0.138981819152832,0.6896791458129883,-0.2322088778018951,0.6206598281860352,0.291895717382431,-1.4486644268035889,-0.0420490428805351,-2.378049373626709,1
2023-10-21 17:16:53.200,-1.0620498657226562,-0.3921754360198974,-0.622711181640625,0.6945036053657532,-0.2329706698656082,0.6161114573478699,0.2894755601882934,-1.438071846961975,-0.0331065319478511,-2.3807482719421387,1
2023-10-21 17:16:53.220,-1.1893911361694336,-0.6715059280395508,-0.8056373596191406,0.6949777603149414,-0.2330468446016311,0.6156612634658813,0.2892342209815979,-1.4370278120040894,-0.0322214402258396,-2.3810203075408936,1
2023-10-21 17:16:53.280,-0.4420464038848877,-0.1030061244964599,-0.4684305191040039,0.6975845098495483,-0.2343708723783493,0.6139582991600037,0.2854846119880676,-1.43408203125,-0.0235665198415517,-2.3852338790893555,1
2023-10-21 17:16:53.330,0.0848251581192016,-0.0393580496311187,0.3120326995849609,0.6983805298805237,-0.2334792017936706,0.6140016317367554,0.2841726541519165,-1.4333492517471311,-0.0228522941470146,-2.3886168003082275,1
2023-10-21 17:16:53.350,0.0740604400634765,-0.2027920037508011,0.077432632446289,0.7005819082260132,-0.234003335237503,0.6118907332420349,0.2828733026981354,-1.4286298751831057,-0.0182991102337837,-2.3899567127227783,1
2023-10-21 17:16:53.370,-0.0934772491455078,-0.3743188381195068,-0.212533950805664,0.7005819082260132,-0.234003335237503,0.6118907332420349,0.2828733026981354,-1.4286298751831057,-0.0182991102337837,-2.3899567127227783,1
2023-10-21 17:16:53.430,-0.6014400720596313,-0.4300335645675659,-0.2472591400146484,0.7059420943260193,-0.2373478710651397,0.6068224906921387,0.2776297330856323,-1.419352889060974,-0.0018362115370109,-2.393777847290039,1
2023-10-21 17:16:53.450,-0.4259878396987915,-0.3291786313056946,0.0228242874145507,0.7060922384262085,-0.2374227344989776,0.6067418456077576,0.2773600816726684,-1.4192270040512085,-0.0012872222578153,-2.3941128253936768,1
